users,precision,recall,mape,commonResto
Q8CLfv38ArMpPvv-8Wi-gQ,0.0,0.0,NaN,0
bv-_iTWHzZucGb8mS_OAJg,0.0,0.0,1.0,0
68PRn5eAVHV1SYHWmdnPkg,0.08,0.125,0.875,2
20CagUV7kGKjHpYzlIV_GA,0.0,0.0,NaN,0
mrru6hbeQLvagU4vkfuqmw,0.0,0.0,1.0,0
656Y-LLKJMBNUBkuRB4SyQ,0.0,0.0,NaN,0
HZyIDRzPteWN2PSiRhxmuA,0.0,0.0,1.0,0
hVSEgVPv5y6ELYfQhIe6NA,0.0,0.0,1.0,0
m-2OHy6aP26oefPIiiTocg,0.0,0.0,NaN,0
UwaWaPfhe4ausLjH_OxGWA,0.0,0.0,1.0,0
CdUZIzSe0GJ7qxq4BU8pQw,0.04,0.1111111111111111,0.8888888888888888,1
TY--zvtIzIba2C2aszyNnQ,0.0,0.0,1.0,0
MFnXQb1R1IGLL_-W4oflJw,0.0,0.0,NaN,0
UmTMCfPlhA6kJLAsLycSfg,0.0,0.0,NaN,0
dV4RJbS5AARppHnAFAHUTA,0.0,0.0,1.0,0
q4O6ty6-tMeG1nc0Vi4hAw,0.0,0.0,1.0,0
eTLv_JIPxrwZECVLSKgG_w,0.0,0.0,NaN,0
ldbQ6iN7PYZl-1YCATvUSQ,0.04,0.09090909090909091,0.9090909090909091,1
0zZu8qhsmZlzD4Ge2L_JaA,0.0,0.0,1.0,0
yQelw2nnzrK7Y7XbBX8Pyg,0.04,0.2,0.8,1
242-DHMPDzfjYrb45dd9ZQ,0.04,0.07142857142857142,0.9285714285714286,1
EC5TGpxONfz4IZIjML0DpQ,0.0,0.0,1.0,0
4sGwJy5Oplz8QXLgD8dr2w,0.0,0.0,1.0,0
O-CJSgFUDt0LqqsGA2zKqg,0.0,0.0,1.0,0
GERRIWMslcP4-O6mLErPSQ,0.0,0.0,1.0,0
dA4xLSj4stgmHgblQhz0eQ,0.0,0.0,NaN,0
A9PzIlg1jlezCcpuN9V8UQ,0.0,0.0,1.0,0
ouBabHrFc95KNXldoqeIsw,0.0,0.0,1.0,0
V4TPbscN8JsFbEFiwOVBKw,0.0,0.0,1.0,0
J0g-zpTGHUu9wdsE0C4ljQ,0.0,0.0,1.0,0
d3zFr4UyL1JNI-rZ-90oOQ,0.0,0.0,1.0,0
99p8Y9nbXRBN3FaRPqPKmw,0.0,0.0,NaN,0
yRB4UrgnLs3BxbVM1QQ0Gw,0.04,0.05263157894736842,0.9473684210526315,1
Msev2FHJ8HUNl9hHo9Hl1w,0.0,0.0,1.0,0
5bSjgj1d0_35ZK76JQ4tOA,0.0,0.0,NaN,0
aZvNQg3zSF7sPHMJvSTOpw,0.04,0.09090909090909091,0.9090909090909091,1
TSpDFBMFx5ug2mvA5lHrPg,0.0,0.0,1.0,0
B43lamWLF3j2AamQ5a0w7g,0.0,0.0,1.0,0
yfhchNS9zMnnIGYnRC218g,0.0,0.0,1.0,0
FwgT_pZzsLCRPROEonT0fQ,0.04,0.1111111111111111,0.8888888888888888,1
QxBIfPH-0JoOPpBKVQg8Bw,0.0,0.0,NaN,0
d3EqggaHzuON2t7k1Z30Fg,0.0,0.0,1.0,0
mv1IeIs9H8Or5GOi3JHxrw,0.0,0.0,NaN,0
B6nvVUcnj5r7mNll1iCxXQ,0.0,0.0,1.0,0
QZzYd0ax8CvKHU1RGQCnUw,0.0,0.0,1.0,0
Kj9cFO70zZOQorN0mgeLWA,0.04,0.015625,0.984375,1
k5qv7cG89Rpup6wyD0g7GA,0.04,0.14285714285714285,0.8571428571428571,1
5Y0VGDQxeDJUHFvHj4Bg7g,0.04,0.0625,0.9375,1
GQ8l3o7-_jL0WNHUkNlhJA,0.0,0.0,1.0,0
gSO_NFz9zJaddMbldkfOfw,0.04,0.08333333333333333,0.9166666666666666,1
0BaJ43WuBnP-G6fmstEmNQ,0.08,0.07692307692307693,0.9230769230769231,2
g4xr80W9n71ZrFV2JYzJ5g,0.0,0.0,NaN,0
f-eoW1jeCLNRXrx5E05kxg,0.04,0.09090909090909091,0.9090909090909091,1
hAi-sBBQF43tQqVMmEqVew,0.0,0.0,1.0,0
aeJZOuqK4UVGsxI8QHmiXg,0.04,0.25,0.75,1
iRQ_YKpCBdaCwvc2X8_3NQ,0.08,0.02564102564102564,0.9743589743589743,2
_SadovtH8RAjtQL4D6Jczw,0.0,0.0,1.0,0
_5HFgadpCIaSVINVvse2Kw,0.0,0.0,NaN,0
3RU_U3HdYU3AOs_r9rgoBg,0.2,0.2631578947368421,0.7368421052631579,5
bPu0FHiJ9FH5d5PLXo7VEw,0.0,0.0,1.0,0
NilrQC1Lq7t2O1u_54sINQ,0.0,0.0,1.0,0
x4TwK62HyLeO56zGsSN0yw,0.04,0.038461538461538464,0.9615384615384616,1
d5KEW-2mILNf6FieZwDyEA,0.0,0.0,1.0,0
933NaWG9W6Z-1pXMFPKOoQ,0.0,0.0,1.0,0
acMTOeMtsBuNd15pUAy3CQ,0.0,0.0,1.0,0
VVm-TFCpi9M1-k8ED0l1eA,0.0,0.0,1.0,0
nmI6LoOi0zvHaH7rwISRCw,0.04,0.25,0.75,1
FWvAdvaQx02yZKdvr8HpLQ,0.0,0.0,1.0,0
tVq3-awIMYQ-csIFBaDI8g,0.0,0.0,NaN,0
8Dvr-U6jCZTVGD52LwC2qA,0.2,0.09433962264150944,0.9056603773584906,5
dwFgmKO-PzJalyHDSGAT8A,0.0,0.0,NaN,0
q_HfkJHXgS2PmReenAOchQ,0.0,0.0,1.0,0
Or5mSP8ofuX-tfrIQSLBew,0.0,0.0,1.0,0
4d681x3sCw1Q9ySTyTYXlw,0.0,0.0,NaN,0
_zPT9ZmR5-nUfsprzIiRew,0.08,0.07142857142857142,0.9285714285714286,2
uDPgnEv6jZa4CSv6NX49TQ,0.0,0.0,1.0,0
ZrN6jjXI41GP7Oieae6CNQ,0.0,0.0,1.0,0
orh0HRUNCWuQMt9Iia_osg,0.08,0.07407407407407407,0.9259259259259259,2
4YgsqKUEIqtAe9sqxJzlcA,0.0,0.0,NaN,0
6UPWBTOfNoaGRahqTX14Ag,0.0,0.0,NaN,0
tE0aznXzQo-JRbHHHoFmfw,0.0,0.0,NaN,0
YWkIeKGcuRFLwxcTBvn6Yg,0.04,0.09090909090909091,0.9090909090909091,1
Aa5bZsoNRHgYkkw193Wu6A,0.0,0.0,1.0,0
Qsu2EtNn99_oVG9bS4Miaw,0.0,0.0,NaN,0
YJLlvBPtvB8iJg8_WKxVzQ,0.04,0.16666666666666666,0.8333333333333334,1
Du_IfiiJLU0ReeRetapkzA,0.0,0.0,1.0,0
Kl6jNDAE7PG_VVQafIptxQ,0.0,0.0,NaN,0
b9EOHQgkDuWP8WrM3cBzbw,0.0,0.0,1.0,0
DkvaAV7F4Y_rw040k0XGvQ,0.2,0.11363636363636363,0.8863636363636364,5
U83weFx8vCDw7zYO-4FeWA,0.0,0.0,NaN,0
TYiDRwfIUBEos45ERdzeAw,0.0,0.0,NaN,0
oV6h4n33PBH0cs5M3FIuKg,0.0,0.0,NaN,0
i-PZwf519Vu4ybNt9D8oEA,0.12,0.21428571428571427,0.7857142857142857,3
UnlrkIgodDiNitZidgStbQ,0.0,0.0,1.0,0
KbguEE7K0xUXySYI2gcnng,0.0,0.0,1.0,0
Y1N7LPhi3xAq3UBLKWpWNQ,0.04,0.07142857142857142,0.9285714285714286,1
EIqNtsUL1omnECtYJ31ykQ,0.0,0.0,1.0,0
U2A_9kuWAMpvCObHrrSM_w,0.04,0.045454545454545456,0.9545454545454546,1
40HP303ewFN1MuBWgWql2Q,0.0,0.0,1.0,0
qSrV0puglRxyxbwzOS05Tw,0.0,0.0,NaN,0
dSTRQSeCqMTbs7l8KF_xJg,0.0,0.0,1.0,0
-OY3fkHVYy0Dx160rKCiWQ,0.04,0.16666666666666666,0.8333333333333334,1
tVR1J5N9NJLLl2j1eFFdFA,0.0,0.0,1.0,0
w106K3WqXHcvmZ22UeiboQ,0.0,0.0,1.0,0
z53uSRCr7BHaZ5Rmj03yCg,0.04,0.022727272727272728,0.9772727272727273,1
y0Fto7ianqYeO9z-nvxVsQ,0.04,0.16666666666666666,0.8333333333333334,1
0IwZb1ePNpSVYcCdMtGoQw,0.24,0.12,0.88,6
eV5usRjY2cDqNKVv8wXroA,0.0,0.0,1.0,0
OHfTeAhGpJtUMEOe7QLwgw,0.0,0.0,NaN,0
wskTNZjwiqMJOvM_-XAQZw,0.0,0.0,NaN,0
4TVcAVhnypLekIauJyb4OA,0.0,0.0,NaN,0
dAB-v4B-5_8QgTcoVSnZOw,0.04,0.25,0.75,1
dqKGX-Zz61Cz62S86mHNmg,0.0,0.0,1.0,0
BFcBwoxpkKGUIeUzOU0rRA,0.0,0.0,1.0,0
bPUpO-bP6BmAGvSwPyDsng,0.0,0.0,NaN,0
jusKVeP7EUHNkDV8ePyLuQ,0.0,0.0,1.0,0
cbGOTYFn4tZrfaDsNc-4Sw,0.12,0.23076923076923078,0.7692307692307693,3
xPHPmGFANmcblhDfjkt5ig,0.0,0.0,1.0,0
DNlzbI54zCOa4to-vTWBJQ,0.0,0.0,1.0,0
ehzvSXsijzgxsYHvXeaS-Q,0.04,0.07142857142857142,0.9285714285714286,1
mZ1gXzL6Tn5Oky8_j0Kp7g,0.0,0.0,1.0,0
TJpPDsFGNm_MfO6Z3nqfDA,0.0,0.0,NaN,0
