users,precision,recall,mape
OW0PZxoGFGSOthAmN_cSUg,0.03,0.21428571428571427,0.7857142857142857
zFp22UYxTFPmyFDjkSy7FQ,0.01,1.0,0.0
ayoslNT7RdE-LyzS-fJVFA,0.03,0.11538461538461539,0.8846153846153846
8-elsQ1aqXXoOBBB6hzFsw,0.02,0.2857142857142857,0.7142857142857143
VYqRk78kesHn86jPngPUXQ,0.0,0.0,NaN
b4QVz6G-ZuTk6k4nIir_qA,0.0,0.0,1.0
4zj45H58_jCNCGczF8jAZQ,0.01,0.05,0.95
ira4RzqjC9shmZTJEk8ZAQ,0.0,0.0,NaN
QG9ZJatKSWj5p5VrW3cfMA,0.02,0.2222222222222222,0.7777777777777778
sGO-stZSJKX39qzKfUraYw,0.06,0.14634146341463414,0.8536585365853658
2AZaPPRAWhDDO7k-jlpfwg,0.01,1.0,0.0
7QVNLrJDkjsDsCtODlPdsw,0.03,0.21428571428571427,0.7857142857142857
yVux4cP2BIuHDUv7RXpXPw,0.0,0.0,NaN
djP46l4v0TQTqhLa-ZB1xw,0.02,0.2,0.8
PxDKVBipTwYFaNBkvv9xbg,0.01,0.25,0.75
GwOM1kyHnwTU-FgiDhbO1A,0.0,0.0,1.0
C7Kj6xLZlzvXKzW-u5zLew,0.0,0.0,NaN
sN0zLCtwP9JVcsrPB86G7Q,0.0,0.0,NaN
I9IqqJYtRsamLZ8S_yewCA,0.01,0.16666666666666666,0.8333333333333334
frDvTTb7nxtmDhp8kruttQ,0.0,0.0,1.0
uJucNa2iF6Qdp3woEte73g,0.01,0.25,0.75
9uKbKAfG_N2MrXDZdUuV3Q,0.0,0.0,1.0
o5Ok9mr28O1MmpGaGqE6Tg,0.02,0.2857142857142857,0.7142857142857143
sHY6JcgWOHLP4vR836Esmw,0.03,0.2727272727272727,0.7272727272727273
Isf8G6HPbNqEisKDjmUlbw,0.02,0.13333333333333333,0.8666666666666667
1UwJVPsIiQ1VpzRZhLftSw,0.0,0.0,NaN
k3-rnDDoLuT_MCtA0n1SfA,0.0,0.0,NaN
5aPp3PnDs50CfWMapd7yEg,0.0,0.0,NaN
IVo_5i_pBbQGnlmkvKRk-g,0.0,0.0,NaN
vq6bB7vxk1lzOgqcv5hlmA,0.0,0.0,NaN
6ZEIvCcj3xCx8TNH7-R64A,0.0,0.0,1.0
PxzBS6FXePo9p__FRVLMSg,0.03,0.08571428571428572,0.9142857142857143
AAbUJQ6TIhRnlJOfpy_emA,0.03,0.10714285714285714,0.8928571428571429
iK91qvh5nA3SzE4pxZtrRQ,0.01,1.0,0.0
LoKOWvUpjWsx3emo5B4g4g,0.0,0.0,NaN
zTK1nPD2Hpa-ksSXsE-JzQ,0.03,0.21428571428571427,0.7857142857142857
SGobMWMf7xwbOYHL6WMXyw,0.11,0.22448979591836735,0.7755102040816326
ktm2YMsb65tRnePcYpVlqg,0.04,0.25,0.75
jlpapIPWURjBUg3V31AjKw,0.0,0.0,NaN
HCVvUpb7aU61pC7vYrZQaw,0.0,0.0,NaN
veeaBpjDwo-xfHSz3z3PWg,0.0,0.0,1.0
9i1MHwfiLbYWTnMgkACwgw,0.0,0.0,NaN
Eaai36jQHU5IqPezom4w4A,0.02,0.2857142857142857,0.7142857142857143
ao8zAJ4Kt44Iy2MbRZPPSQ,0.0,0.0,1.0
15Yrx7yqhGp-uUc5ghCcUg,0.0,0.0,NaN
60JrvkRZ8v58-XkZ8B-CQw,0.0,0.0,1.0
PeLGa5vUR8_mcsn-fn42Jg,0.0,0.0,NaN
GBX-guVW0V9scmBvFZjIUw,0.02,0.2222222222222222,0.7777777777777778
ovn7FzjCDBm6qtI_GRreaA,0.02,1.0,0.0
hCy4Kkyo4N0fFLMDpKjYyw,0.06,0.17142857142857143,0.8285714285714286
Ny0vlFSG6s8qr0hWjgUhBA,0.02,0.2222222222222222,0.7777777777777778
hZ_ElhGO3sQDVvM8ZrQetA,0.03,0.2,0.8
rWk_AbsnkXxjC_GAUlNV6A,0.0,0.0,NaN
X4dULKG-TCjkh0bqXjJlFQ,0.0,0.0,NaN
Rzf35jKV8e8EJdssrae_AA,0.0,0.0,1.0
xyx_HjN-8ilSIDo2iCmVPA,0.0,0.0,NaN
3xORNxbKdd08LUf0tclx3A,0.01,0.25,0.75
MG26Ips5arkOiFrvmmtcVg,0.0,0.0,1.0
DCZM9vP-3PwIDNPEvDnDlw,0.0,0.0,NaN
SbMSN-N7WGW3W8ayZYru0w,0.0,0.0,1.0
mvq6mTZBd3mdDg_bZRWiuQ,0.0,0.0,1.0
BX_nDXJD3DGzpej4voDFmQ,0.02,0.11764705882352941,0.8823529411764706
YSTyY5DU4-9wWx7lluTADA,0.0,0.0,1.0
ttLHvUbnPYdeldBj6fSePw,0.0,0.0,NaN
d8zJLY5XBfFABcQI2Nf9IA,0.02,0.09090909090909091,0.9090909090909091
YVdOHf-f4NMfkrEApEZcGQ,0.0,0.0,1.0
TfKRp73rhUhkcLL7sizjYg,0.01,0.3333333333333333,0.6666666666666666
TseW_BaZU0wIjnBvrTTe4Q,0.05,0.1724137931034483,0.8275862068965517
xEUsXVpbwuM5_nR_rECk0Q,0.0,0.0,1.0
4FXbovgSEFZ5_9S5wddFIg,0.0,0.0,NaN
NjLRgbRZiwEIMpAgXypJtw,0.0,0.0,NaN
ffPY_bHX8vLebHu8LBEqfg,0.0,0.0,NaN
